167,92,146,146,49,133,129,167
156,83,132,132,42,117,92,156
126,96,106,106,30,118,106,130
179,96,156,156,64,164,164,179
85,48,63,35,40,148,148,85
115,83,91,91,44,137,112,115
149,68,124,124,29,126,137,149
174,63,151,151,30,136,153,174
138,98,114,114,65,180,155,138
174,148,151,121,32,125,107,174
189,153,166,166,46,114,114,189
128,102,103,103,38,124,110,128
171,103,149,149,30,143,120,172
119,58,94,94,58,106,126,119
143,117,120,120,31,107,141,143
148,54,121,121,34,158,182,148
164,116,139,139,61,160,153,164
112,64,90,90,32,161,184,112
150,91,125,125,44,125,71,150
167,87,141,141,48,129,121,167
108,60,85,85,31,177,146,108
117,92,92,92,58,106,117,117
182,140,160,160,32,144,100,182
150,63,126,126,47,161,161,150
115,80,91,91,27,171,116,115
155,64,134,115,30,117,121,155
163,88,140,140,43,61,61,163
93,53,71,71,33,119,146,93
113,68,85,85,31,151,151,113
126,93,102,102,47,134,121,126
138,63,116,116,48,99,123,138
75,49,54,33,49,114,113,75
154,66,128,128,36,139,32,154
159,131,137,137,32,170,173,159
141,90,114,114,90,182,182,141
112,61,91,91,29,136,134,112
129,106,106,106,27,72,72,129
128,104,104,104,41,110,64,128
120,82,97,97,50,138,112,120
142,77,119,115,28,64,91,142
107,49,85,85,49,121,121,107
171,116,146,146,29,173,188,171
128,95,105,105,30,160,179,128
138,55,117,117,55,149,116,139
157,90,132,132,54,169,169,157
181,38,158,158,38,54,54,181
121,79,98,98,58,101,136,121
133,91,111,109,53,131,108,133
164,101,142,142,29,200,200,164
186,89,164,164,59,72,72,186
82,138,112,83,81,204,229,138
35,250,222,222,62,147,147,250
56,149,122,122,31,179,203,149
74,143,115,115,27,112,132,143
64,150,125,125,34,225,225,150
73,212,187,187,62,150,150,212
44,174,148,148,31,160,160,174
107,167,141,141,44,148,148,167
94,198,174,174,27,174,174,198
54,181,155,155,29,138,138,181
40,147,121,121,69,151,178,147
84,119,95,65,61,180,180,119
97,159,134,134,52,224,237,159
95,181,156,156,56,211,211,181
30,159,131,131,28,174,199,159
18,158,135,135,45,143,146,158
9,116,91,71,32,159,186,116
46,199,174,174,38,110,134,199
42,194,168,168,72,143,167,194
124,173,148,148,29,164,164,173
90,209,181,181,62,134,159,209
95,160,133,133,31,83,100,160
52,231,205,177,32,163,163,231
79,167,140,139,58,121,148,167
50,119,92,92,29,168,168,119
79,175,152,147,30,120,120,175
34,148,124,124,29,169,169,148
52,133,108,77,60,114,122,133
58,157,132,132,36,138,138,157
104,213,186,157,89,148,169,213
100,173,151,151,53,199,199,173
14,146,121,121,32,159,159,146
47,157,132,104,83,178,202,157
59,147,120,120,80,121,145,147
9,157,133,130,28,157,157,157
87,168,142,142,61,150,168,168
82,174,147,140,50,209,209,174
83,217,189,189,60,79,79,217
49,186,161,161,28,161,184,186
41,158,133,133,27,163,189,158
61,167,141,141,31,120,120,167
86,153,127,127,56,84,110,153
60,183,157,157,45,127,127,183
52,122,95,95,40,141,141,122
42,183,158,158,60,159,138,183
67,138,113,113,31,173,173,138
176,210,183,183,64,123,140,210
56,195,169,169,26,203,203,195
32,122,94,94,25,121,145,122
59,136,113,83,66,124,124,136
30,61,217,61,61,239,239,217
5,55,231,67,32,189,189,231
65,64,228,70,64,184,184,228
27,46,226,54,46,206,206,226
61,61,234,82,61,230,230,234
16,64,243,66,64,226,226,243
23,39,195,25,31,224,59,195
57,81,255,97,81,211,211,255
21,64,228,69,28,214,214,228
35,36,186,26,36,194,194,186
32,32,220,57,32,198,198,220
17,32,191,31,32,183,183,192
33,48,200,44,48,195,195,205
10,32,215,58,32,210,210,215
4,56,206,57,56,210,210,206
14,38,190,32,32,189,189,190
32,32,211,56,32,239,239,211
39,64,254,87,60,208,208,254
11,33,185,34,33,266,266,185
16,32,189,31,32,199,199,189
37,32,192,37,32,199,199,192
50,32,207,53,32,210,210,207
31,46,203,46,41,201,201,203
22,33,188,20,33,236,236,188
60,64,220,66,64,186,186,220
40,31,208,62,31,191,191,208
21,33,206,52,33,243,243,206
32,32,225,49,32,201,201,225
30,32,199,32,32,213,213,199
32,32,203,42,32,189,189,203
39,32,202,42,32,192,192,202
21,32,187,29,32,212,212,188
32,32,193,36,32,201,201,193
10,32,188,30,32,185,185,188
52,48,224,61,48,201,201,224
35,61,229,71,61,207,207,229
17,32,200,48,32,200,200,200
29,32,200,41,32,214,214,200
32,32,181,32,32,193,193,181
72,32,234,73,32,198,198,234
55,58,211,58,40,213,213,211
36,32,197,36,32,214,214,197
25,35,207,58,35,234,234,207
2,67,218,63,67,191,191,218
16,43,196,44,43,188,188,201
11,52,214,48,52,190,190,214
13,50,224,48,50,184,184,224
30,32,184,33,32,198,198,184
34,34,208,39,34,211,211,208
44,63,213,53,63,184,184,213
40,148,158,177,54,192,192,177
98,64,222,240,85,251,251,240
55,128,148,166,50,197,197,166
64,84,112,134,32,141,141,134
52,62,143,163,26,145,98,163
84,45,131,150,45,116,116,150
119,118,165,187,61,129,129,187
71,146,192,211,57,130,130,211
63,73,94,113,44,192,192,113
63,64,167,183,52,255,236,184
123,118,223,245,48,183,163,245
96,64,122,142,55,166,166,144
46,64,144,163,59,198,198,163
132,116,165,183,29,166,166,184
42,108,190,208,73,171,171,208
78,60,186,205,57,183,183,205
86,124,201,221,28,178,178,221
97,111,157,174,58,190,152,174
37,160,173,189,47,161,162,189
6,81,133,150,22,131,119,150
123,111,178,195,55,146,150,195
71,70,140,156,55,168,168,157
96,78,114,132,46,231,231,132
27,63,144,166,32,222,222,166
99,120,206,225,61,146,163,225
60,154,219,236,48,140,140,237
73,122,188,209,49,188,188,209
105,154,176,194,54,198,198,195
47,94,209,229,24,122,122,229
41,125,143,162,29,169,169,162
51,123,229,244,62,243,243,244
162,71,178,195,53,156,156,195
81,137,162,180,49,187,187,180
58,111,143,163,50,168,168,163
191,126,227,247,59,150,150,247
70,149,216,238,85,224,224,238
8,32,115,134,32,170,185,134
54,144,216,237,83,132,131,237
96,151,168,186,58,131,131,186
67,85,211,230,47,109,109,230
85,124,198,215,57,181,181,215
44,62,138,157,62,133,133,157
64,188,198,216,31,205,208,216
30,62,153,170,51,158,75,170
84,95,157,180,31,148,148,180
51,64,176,194,25,204,204,194
48,120,200,219,56,156,156,219
53,92,124,141,30,199,199,141
53,118,143,162,24,145,122,162
136,123,180,199,70,212,212,199
48,57,87,65,90,56,43,93
31,48,53,45,55,51,44,60
69,80,79,57,80,76,61,88
16,53,68,63,74,80,72,76
34,59,59,38,61,99,87,64
36,45,53,53,54,58,58,67
41,55,55,43,55,90,49,59
22,53,52,30,53,65,62,53
40,49,74,58,77,47,46,84
25,52,52,41,55,60,52,60
58,68,67,42,68,53,43,68
42,46,48,45,53,55,55,56
20,65,62,44,65,70,71,66
44,58,68,58,72,53,39,72
10,47,42,28,50,93,93,50
29,46,48,48,52,46,46,60
