51145,108259,594626,524520,51568,594626,594626,594626,594626,594626,594626,594669
6365,10896,58283,50668,6559,58283,58283,58283,58283,58283,58283,58305
2964,3555,6292,5153,2694,6292,6292,6292,6292,6292,6292,6384
10862,24610,117814,104127,11658,117814,117814,117814,117814,117814,117814,117872
3271,4560,10463,9027,2556,10463,10463,10463,10463,10463,10463,10463
21807,57401,297144,261041,27148,297144,297144,297144,297144,297144,297144,297187
4404,9991,29465,24157,2912,29465,29465,29465,29465,29465,29465,29505
49728,49877,95255,70671,46492,95255,95255,95255,95255,95255,91960,95263
5490,5483,9470,7236,4837,9470,9470,9470,9470,9470,8564,9498
1266,1168,1640,1250,1112,1640,1640,1640,1640,1640,1250,1659
10433,10417,19013,14889,9654,19013,19013,19013,19013,19013,16369,19031
1334,1101,1843,1630,1101,1843,1843,1843,1843,1843,1630,1893
24787,25602,47631,36586,23298,47631,47631,47631,47631,47631,40666,47636
3002,2765,4672,3597,2568,4672,4672,4672,4672,4672,3597,4687
41317,44919,44919,8685,44919,44919,44919,44919,44919,44919,8685,44919
3862,4490,4490,868,4490,4490,4490,4490,4490,4490,868,4490
622,895,895,288,895,895,895,895,895,895,288,895
8097,8919,8919,1701,8919,8919,8919,8919,8919,8919,1701,8919
622,895,895,175,895,895,895,895,895,895,175,895
20605,22505,22505,4551,22505,22505,22505,22505,22505,22505,4551,22505
1896,2215,2215,444,2215,2215,2215,2215,2215,2215,444,2217
