Parameters,Data,Current generation,"Best solution
found so far
in island 1","Best solution
found so far
in island 2","Best solution
found so far
in island 3","Best solution
found so far
in island 4","Best solution
in island 1",Results 1,"Best solution
in island 2",Results 2,"Best solution
in island 3",Results 3,"Best solution
in island 4",Results 4
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,99009,90001,90001,99007,Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,99009,90001,90001,99007,,,,,,,,
Backpack capacity,40,499,99009,90001,90001,99007,,,,,,,,
Maximum backpack weight,100000,,,,,,,,,,,,,
Instance used,\ks_40_0.txt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population size,500,0,90001,90001,97771,90001,Weight,90000,Weight,90000,Weight,97760,Weight,90000
Number of generations,500,100,90001,90001,97771,90001,Value,90001,Value,90001,Value,97771,Value,90001
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,90001,90001,97771,90001,Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Backpack configuration,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0]",Backpack configuration,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,90001,90001,97771,90001,,,,,,,,
Backpack capacity,40,499,90001,90001,97771,90001,,,,,,,,
Maximum backpack weight,100000,,,,,,,,,,,,,
Instance used,\ks_40_0.txt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population size,500,0,21613,22497,23004,23308,Weight,57940,Weight,57940,Weight,57940,Weight,57940
Number of generations,500,100,23720,23720,23720,23720,Value,23720,Value,23720,Value,23720,Value,23720
