159,89,136,136,29,138,138,159
134,77,110,110,36,110,110,134
143,109,120,120,71,120,120,143
126,56,106,106,41,126,106,126
167,107,141,141,32,141,141,167
182,158,158,158,59,182,177,182
177,132,153,153,59,156,153,177
184,90,161,161,31,184,184,184
125,71,102,102,48,71,102,125
148,121,124,124,33,121,121,148
177,63,154,125,31,154,154,177
141,93,116,116,32,116,116,141
144,96,121,121,84,144,144,144
161,61,139,112,57,161,139,161
171,116,150,150,52,142,150,171
146,63,121,121,59,121,121,146
108,61,84,84,35,61,61,108
145,79,123,123,52,123,123,146
176,85,151,151,38,152,151,176
143,92,121,121,39,121,121,143
123,63,99,99,30,123,63,123
135,87,112,112,54,112,112,135
146,32,123,123,32,89,100,146
196,124,170,170,31,173,170,196
204,95,182,182,61,182,182,204
157,92,134,133,26,134,133,157
102,72,79,79,30,72,72,102
134,64,110,110,35,64,64,134
153,92,127,127,56,138,112,153
113,64,91,91,31,91,91,113
145,110,121,121,28,121,121,145
188,139,164,164,64,188,173,188
184,99,160,160,57,179,174,184
149,116,127,127,61,149,149,149
169,116,144,144,44,169,144,169
84,54,63,63,54,54,54,84
146,101,123,123,52,123,123,147
139,64,115,115,43,131,139,139
200,122,175,175,32,200,200,200
123,46,100,100,46,110,46,123
167,92,146,146,49,155,146,167
156,83,132,132,42,156,135,156
126,96,106,106,30,106,106,130
179,96,156,156,64,141,146,179
85,48,63,35,40,63,35,85
115,83,91,91,44,77,94,115
149,68,124,124,29,132,124,149
174,63,151,151,30,126,126,174
138,98,114,114,65,138,114,138
174,148,151,121,32,151,121,174
189,153,166,166,46,181,153,189
128,102,103,103,38,128,103,128
171,103,149,149,30,149,149,172
119,58,94,94,58,60,60,119
143,117,120,120,31,120,120,143
148,54,121,121,34,121,121,148
164,116,139,139,61,116,139,164
112,64,90,90,32,90,90,112
150,91,125,125,44,125,150,150
167,87,141,141,48,141,141,167
108,60,85,85,31,63,63,108
117,92,92,92,58,92,92,117
182,140,160,160,32,160,160,182
150,63,126,126,47,126,126,150
115,80,91,91,27,91,91,115
155,64,134,115,30,147,134,155
163,88,140,140,43,136,136,163
93,53,71,71,33,71,71,93
113,68,85,85,31,68,77,113
126,93,102,102,47,111,93,126
138,63,116,116,48,116,116,138
75,49,54,33,49,49,55,75
154,66,128,128,36,135,138,154
159,131,137,137,32,137,137,159
141,90,114,114,90,114,114,141
112,61,91,91,29,112,91,112
129,106,106,106,27,106,106,129
128,104,104,104,41,121,104,128
120,82,97,97,50,82,82,120
142,77,119,115,28,129,129,142
107,49,85,85,49,49,49,107
171,116,146,146,29,146,146,171
128,95,105,105,30,95,95,128
138,55,117,117,55,139,117,139
157,90,132,132,54,117,117,157
181,38,158,158,38,123,158,181
121,79,98,98,58,79,98,121
133,91,111,109,53,133,111,133
164,101,142,142,29,161,142,164
186,89,164,164,59,160,140,186
78,178,151,151,31,151,151,178
108,206,180,179,63,180,179,206
113,248,224,224,83,237,224,248
121,211,187,187,27,187,187,211
7,199,174,174,91,199,174,199
79,168,143,133,78,146,146,168
79,186,159,158,29,186,186,186
52,134,109,108,59,132,109,134
42,167,140,140,32,143,140,167
138,164,140,140,27,164,164,164
61,159,134,134,52,159,159,159
28,100,72,72,28,100,100,100
80,163,137,137,27,163,163,163
64,148,121,121,58,148,121,148
93,168,144,144,81,160,147,168
46,147,120,120,57,120,120,147
61,169,145,145,31,169,168,169
36,139,114,114,55,139,114,139
66,138,111,111,25,138,115,138
54,169,148,148,30,169,161,169
35,199,173,173,93,199,199,199
54,159,133,133,74,159,159,159
106,202,178,178,52,202,202,202
36,145,121,121,51,145,145,145
23,157,134,105,27,157,157,157
71,168,143,143,31,168,143,168
50,209,182,152,28,182,182,209
29,105,79,79,38,105,79,105
31,184,160,131,61,184,184,184
63,189,163,162,53,189,163,189
51,148,120,120,33,120,120,148
19,134,110,84,27,84,84,134
63,127,99,93,37,99,127,127
58,141,116,116,82,141,116,141
63,165,138,138,53,159,138,165
39,198,173,142,51,173,142,198
51,151,123,123,26,140,123,151
94,203,176,176,58,177,203,203
43,145,121,121,43,145,121,145
28,124,100,71,32,124,124,124
82,138,112,83,81,138,83,138
35,250,222,222,62,250,250,250
56,149,122,122,31,149,143,149
74,143,115,115,27,143,143,143
64,150,125,125,34,140,125,150
73,212,187,187,62,212,212,212
44,174,148,148,31,148,148,174
107,167,141,141,44,160,141,167
94,198,174,174,27,184,174,198
54,181,155,155,29,181,181,181
40,147,121,121,69,147,121,147
84,119,95,65,61,119,95,119
97,159,134,134,52,159,134,159
95,181,156,156,56,174,174,181
30,159,131,131,28,131,131,159
18,158,135,135,45,158,142,158
9,116,91,71,32,116,100,116
46,199,174,174,38,183,174,199
42,194,168,168,72,185,169,194
124,173,148,148,29,173,173,173
90,209,181,181,62,209,181,209
95,160,133,133,31,133,133,160
52,231,205,177,32,205,205,231
79,167,140,139,58,167,139,167
50,119,92,92,29,92,92,119
79,175,152,147,30,175,175,175
34,148,124,124,29,142,124,148
52,133,108,77,60,133,108,133
58,157,132,132,36,157,157,157
104,213,186,157,89,186,186,213
100,173,151,151,53,173,151,173
14,146,121,121,32,146,121,146
47,157,132,104,83,134,134,157
59,147,120,120,80,147,147,147
9,157,133,130,28,157,157,157
87,168,142,142,61,168,142,168
82,174,147,140,50,174,147,174
83,217,189,189,60,217,189,217
49,186,161,161,28,186,161,186
41,158,133,133,27,158,133,158
61,167,141,141,31,167,167,167
86,153,127,127,56,153,127,153
60,183,157,157,45,157,157,183
52,122,95,95,40,122,95,122
42,183,158,158,60,167,158,183
67,138,113,113,31,135,135,138
176,210,183,183,64,210,183,210
56,195,169,169,26,169,169,195
32,122,94,94,25,94,97,122
59,136,113,83,66,136,113,136
39,35,198,36,35,198,198,198
15,32,183,30,32,183,183,183
10,32,195,42,32,195,10,195
26,32,210,55,32,210,210,210
17,32,210,57,32,210,210,210
30,32,189,23,32,189,189,189
42,64,239,79,86,239,239,239
27,53,208,47,32,208,208,208
61,57,266,114,57,266,266,266
27,45,199,47,45,199,40,199
20,32,199,45,32,199,40,199
40,32,210,55,32,210,40,210
32,32,201,41,32,201,201,201
32,32,236,70,32,236,236,236
13,32,186,27,32,186,186,186
1,32,191,23,32,191,191,191
61,63,243,91,28,243,243,243
6,32,201,39,32,201,29,201
11,43,213,51,43,213,213,215
19,33,189,25,33,189,19,189
32,32,192,22,32,192,192,192
59,59,212,59,59,212,59,212
32,32,201,52,32,201,201,201
19,33,185,31,33,185,185,185
33,32,201,45,32,201,201,201
43,32,207,53,32,207,207,207
45,45,200,45,45,200,97,200
36,59,214,45,59,214,214,214
22,32,193,34,32,193,22,193
32,32,198,38,32,198,34,198
46,32,213,53,32,213,213,213
32,32,214,53,32,214,32,214
25,58,234,78,58,234,234,234
20,39,191,32,39,191,44,191
15,32,188,36,32,188,188,188
32,38,190,31,38,190,190,190
11,32,184,33,32,184,184,184
29,44,198,46,44,198,29,198
45,58,211,59,58,211,211,211
27,32,184,38,32,184,27,184
30,61,217,61,61,217,217,217
5,55,231,67,32,231,231,231
65,64,228,70,64,228,228,228
27,46,226,54,46,226,226,226
61,61,234,82,61,234,234,234
16,64,243,66,64,243,243,243
23,39,195,25,31,195,195,195
57,81,255,97,81,255,255,255
21,64,228,69,28,228,228,228
35,36,186,26,36,186,186,186
32,32,220,57,32,220,220,220
17,32,191,31,32,191,191,192
33,48,200,44,48,200,200,205
10,32,215,58,32,215,215,215
4,56,206,57,56,206,206,206
14,38,190,32,32,190,168,190
32,32,211,56,32,211,32,211
39,64,254,87,60,254,254,254
11,33,185,34,33,185,185,185
16,32,189,31,32,189,16,189
37,32,192,37,32,192,192,192
50,32,207,53,32,207,50,207
31,46,203,46,41,203,31,203
22,33,188,20,33,188,188,188
60,64,220,66,64,220,220,220
40,31,208,62,31,208,188,208
21,33,206,52,33,206,206,206
32,32,225,49,32,225,225,225
30,32,199,32,32,199,199,199
32,32,203,42,32,203,203,203
39,32,202,42,32,202,202,202
21,32,187,29,32,187,21,188
32,32,193,36,32,193,193,193
10,32,188,30,32,188,10,188
52,48,224,61,48,224,224,224
35,61,229,71,61,229,229,229
17,32,200,48,32,200,200,200
29,32,200,41,32,200,200,200
32,32,181,32,32,181,32,181
72,32,234,73,32,234,234,234
55,58,211,58,40,211,211,211
36,32,197,36,32,197,197,197
25,35,207,58,35,207,207,207
2,67,218,63,67,218,218,218
16,43,196,44,43,196,196,201
11,52,214,48,52,214,214,214
13,50,224,48,50,224,224,224
30,32,184,33,32,184,184,184
34,34,208,39,34,208,34,208
44,63,213,53,63,213,213,213
100,89,163,183,77,183,183,183
31,134,166,187,29,166,166,187
55,96,198,218,57,198,218,220
112,122,166,184,85,184,184,184
64,165,171,189,54,171,189,189
50,100,183,199,59,199,199,199
67,112,178,197,32,178,178,197
74,107,190,207,39,190,190,207
44,93,161,178,78,139,162,179
68,82,142,161,27,142,142,161
30,64,146,165,43,146,146,165
60,122,168,184,47,168,184,184
102,63,231,248,63,248,248,248
138,185,222,239,56,222,222,239
103,78,146,162,63,146,162,163
91,59,140,159,42,140,159,160
64,63,188,207,79,207,207,207
103,116,198,217,81,198,217,217
67,90,122,141,24,141,141,141
8,107,169,188,26,169,188,188
97,64,243,261,64,243,261,261
43,112,156,175,60,175,175,175
83,115,187,205,60,205,205,205
57,114,168,185,55,174,185,185
54,128,150,171,27,150,171,171
130,93,224,244,51,224,224,244
30,95,170,188,61,185,188,188
69,32,131,151,32,132,135,151
67,81,131,150,30,131,150,150
93,85,109,126,50,126,126,126
97,79,181,200,48,200,200,200
66,121,133,153,42,133,153,153
61,62,205,221,62,205,205,221
75,100,141,158,28,141,158,158
8,74,148,168,58,151,168,168
92,134,204,223,54,204,204,223
76,89,136,157,32,156,156,157
83,62,199,218,62,199,199,218
54,85,122,145,54,145,145,145
96,165,212,231,62,231,231,231
40,148,158,177,54,158,177,177
98,64,222,240,85,222,240,240
55,128,148,166,50,128,148,166
64,84,112,134,32,134,134,134
52,62,143,163,26,143,143,163
84,45,131,150,45,131,134,150
119,118,165,187,61,187,187,187
71,146,192,211,57,194,211,211
63,73,94,113,44,94,113,113
63,64,167,183,52,183,183,184
123,118,223,245,48,245,245,245
96,64,122,142,55,122,142,144
46,64,144,163,59,163,163,163
132,116,165,183,29,165,165,184
42,108,190,208,73,190,190,208
78,60,186,205,57,205,205,205
86,124,201,221,28,221,221,221
97,111,157,174,58,157,157,174
37,160,173,189,47,173,173,189
6,81,133,150,22,88,133,150
123,111,178,195,55,178,195,195
71,70,140,156,55,140,156,157
96,78,114,132,46,114,132,132
27,63,144,166,32,166,166,166
99,120,206,225,61,225,206,225
60,154,219,236,48,219,219,237
73,122,188,209,49,188,188,209
105,154,176,194,54,194,194,195
47,94,209,229,24,209,229,229
41,125,143,162,29,125,143,162
51,123,229,244,62,244,244,244
162,71,178,195,53,178,195,195
81,137,162,180,49,162,180,180
58,111,143,163,50,144,143,163
191,126,227,247,59,227,227,247
70,149,216,238,85,216,216,238
8,32,115,134,32,95,95,134
54,144,216,237,83,237,216,237
96,151,168,186,58,186,186,186
67,85,211,230,47,230,230,230
85,124,198,215,57,198,198,215
44,62,138,157,62,120,120,157
64,188,198,216,31,216,216,216
30,62,153,170,51,153,170,170
84,95,157,180,31,157,157,180
51,64,176,194,25,176,176,194
48,120,200,219,56,200,219,219
